id,title,description,submission_type,points,open_date,due_date,created_at,updated_at,course_id
201,Personal Website,Build a simple portfolio,FILE,100,2025-01-20 00:00:00,2025-02-05 00:00:00,2025-09-17 21:57:07.716,2025-09-17 21:57:07.716,101
202,Accessibility Reflection,Short essay,TEXT,50,2025-02-10 00:00:00,2025-02-20 00:00:00,2025-09-17 21:57:07.716,2025-09-17 21:57:07.716,101
203,Integration Practice,Solve integrals,URL,75,2025-01-25 00:00:00,2025-02-15 00:00:00,2025-09-17 21:57:07.716,2025-09-17 21:57:07.716,102
204,BST Implementation,Binary Search Tree code,FILE,100,2025-02-01 00:00:00,2025-02-25 00:00:00,2025-09-17 21:57:07.716,2025-09-17 21:57:07.716,104
205,Sorting Report,Compare algorithms,TEXT,50,2025-03-05 00:00:00,2025-03-25 00:00:00,2025-09-17 21:57:07.716,2025-09-17 21:57:07.716,104
206,Rhetorical Analysis,Essay on rhetoric,TEXT,100,2025-02-15 00:00:00,2025-03-05 00:00:00,2025-09-17 21:57:07.716,2025-09-17 21:57:07.716,105
207,JavaScript Quiz,Quiz link,URL,25,2025-03-01 00:00:00,2025-03-05 00:00:00,2025-09-17 21:57:07.716,2025-09-17 21:57:07.716,101
208,Series Worksheet,Power series problems,FILE,50,2025-03-10 00:00:00,2025-03-20 00:00:00,2025-09-17 21:57:07.716,2025-09-17 21:57:07.716,102
209,Peer Review,Review classmates,TEXT,25,2025-03-06 00:00:00,2025-03-10 00:00:00,2025-09-17 21:57:07.716,2025-09-17 21:57:07.716,105
210,Final Project,Capstone project,FILE,200,2025-04-01 00:00:00,2025-05-10 00:00:00,2025-09-17 21:57:07.716,2025-09-17 21:57:07.716,101
211,Final Exam,Comprehensive exam,TEXT,150,2025-05-01 00:00:00,2025-05-12 00:00:00,2025-09-17 21:57:07.716,2025-09-17 21:57:07.716,102
212,Final Exam,Comprehensive exam,TEXT,150,2025-05-02 00:00:00,2025-05-14 00:00:00,2025-09-17 21:57:07.716,2025-09-17 21:57:07.716,104
213,Final Paper,Capstone writing project,FILE,200,2025-04-05 00:00:00,2025-05-08 00:00:00,2025-09-17 21:57:07.716,2025-09-17 21:57:07.716,105